wolf_ID,capture_date,collar_recovery_death,end_date,Month,Day,Year,last_contact,days_to_inact,days_to_death,days_to_fate,fate,fate_num,Anthro_Natural,min_days_inact_death,collar_status,dissap_event,cause_death,poached,unknown,legal,nonhuman,collision,poa_type,known_fate,death_event,FU_poached,FU_Unk_poa,hunt_season,sex,breeder_disp,age_at_death_year,age_at_death_days,age_at_dissap,age_at_collar,collar expected to quit,wolf_year,Comments
10437,3-Feb-94,8-Mar-94,8-Mar-94,2,17,1995,,,,33,agency_removal,7,,,,0,,0,0,0,0,0,,1,0,,,0,F,,,,,,,1993-94,RETURNED TO CAPTIVITY SHORTLY AFTER 2ND RELEASE FOR BACKYARD VISITATION AND PET HARASSMENT
10442,11-Sep-90,,7-Dec-98,12,7,1998,7-Dec-98,3009,,3009,fu,1,,,inactive,1,,0,0,0,0,0,,0,,1,1,1,M,1,,,3142,,,1998-99,
10443,2-Oct-90,3-Jul-95,3-Jul-95,7,3,1995,,,1735,1735,unknown,3,,,,0,unknown,0,1,0,0,0,,0,1,,1,0,F,,5.175342466,1889,,,,1994-95,
10444,7-Feb-91,3-Feb-97,3-Feb-97,2,3,1997,,,2188,2188,collision,6,1,,,0,collision,0,0,0,0,1,,1,1,,,0,F,,6.767123288,2470,,,,1996-97,
10445,15-Sep-93,23-Oct-93,23-Oct-93,10,23,1993,,,38,38,collision,6,1,,,0,collision,0,0,0,0,1,,1,1,,,1,M,,2.501369863,913,,,,1993-94,
10464,23-Aug-93,22-Apr-95,22-Apr-95,4,22,1995,,,607,607,poached,2,1,,,0,poached,1,0,0,0,0,gunshot,1,1,2,2,0,M,,3.991780822,1457,,,,1994-95,
10465,2-Feb-94,15-Feb-94,15-Feb-94,2,15,1994,,,13,13,collision,6,1,,,0,collision,0,0,0,0,1,,1,1,,,0,M,,2.810958904,1026,,,,1993-94,
10496,18-Sep-91,6-Apr-95,6-Apr-95,4,6,1995,,,,1296,agency_removal,7,,,,0,,0,0,0,0,0,,1,0,,,0,F,,,,,,,1994-95,DARTED NEAR DEN; WHELPED LAST FEW DAYS - PUPS PICKED UP AND PLACED IN PEN W/496; 504 AND 699 WILL ALSO BE PUT IN SAME PEN TILL THEY ARE SHIPPED TO GSMNP
10497,1-Oct-91,22-Dec-94,22-Dec-94,12,22,1994,,,1178,1178,poached,2,1,,,0,poached,1,0,0,0,0,gunshot,1,1,2,2,1,M,,3.690410959,1347,,,,1994-95,
10498,30-Sep-91,15-Dec-91,15-Dec-91,12,15,1991,,,76,76,collision,6,1,,,0,collision,0,0,0,0,1,,1,1,,,1,F,,0.668493151,244,,,,1991-92,
